Description,CPT,Gross Charge
PROTEINELECTR FR-QNT,84165,236.0
MOLEC PATH LEV 9,81408,5119.0
MICROB SUSCEP ENZYME,87185,29.0
SP-HEAR-TX-INDI VIST,92507,833.0
COVID19 CONV PLASMA,C9507,77.0
MORPHINE PF 10MG INJ,J2274,50.0
CH-RIBS BI PA CXR DR,71111,805.0
CH-ABDOMEN 2 VWS DR,74019,520.0
CONN TISSUE HUMAN 2,C1762,11981.0
MORCELLATOR 2,C1782,2963.0
INF PMP NON-PROG LV1,C2626,622.0
LE-CALCANEUS 2PLS DR,73650,979.0
HEROIN METABOLITE MS,80356,109.0
"IMMUNODIFF, OUCHTER",86331,78.0
ANCHOR/SCRW LEVEL 11,C1713,13853.0
CYP2C19 GENE ANALY C,81225,1118.0
LE-FOOT 2V DR,73620,751.0
S-BALO ANGIOP DIAL,SURG,6959.0
IGK GENE REARRANGE,81264,835.0
KIT GENE TARG SEQ AN,81272,592.0
MINOR PROCEDURE,SURG,323.0
IVIG (PRIVIGEN)500MG,J1459,256.0
S-MYELOGRAM INJ,62284,1952.0
BLOOD TRANSFUSION,36430,3616.0
"FACTOR XIII, SCREEN",85291,33.0
AD PROCEDURE OR LV 1,SURG,2291.0
BONE CEMENT 4,C1713,176.0
EVAL SP SND PROD CMP,92523,1031.0
METOCLOPRAM 10MG INJ,J2765,47.0
CYTO-CERVICALRP CDM,88174,156.0
THERAPEUTIC IV PUSH,96374,1020.0
AD PROCEDURE GI LV 3,SURG,2030.0
S-ABDOMEN 1ST ORDER,36245,3908.0
S-INTROCATH VEN 2ND,36012,1853.0
UE-WRIST 2V DR,73100,537.0
DEOXYCORTISOL,82634,141.0
"SHIGA-LIKE TOX AG,EI",87427,81.0
GI LAB LEV 3 1ST 15,SURG,6768.0
CADMIUM,82300,193.0
HIV1-HIV2 AB SNG RES,G0435,229.0
HEPARIN 1000U INJ,J1644,43.0
DIMERCAPRO 100MG INJ,J0470,193.0
BCR-ABL1 MAJOR QL-QN,81206,1439.0
ZONISAMIDE QT,80203,74.0
HEMODIALY SING EVAL,90935,2650.0
"HEPATITIS, DELTA AGE",86692,120.0
IR-CAT DIAL DIAG ANG,SURG,3303.0
POLYSOMNO GT4 GE6YO,95810,9473.0
GENERAL HEALTH PANEL,80050,873.0
EVEROLIMUS QT,80169,188.0
MR-LUMB SPINE WWO,72158,7538.0
THER EXRCS-15MIN OT,97110,304.0
HISTOPLASM CAPSU AGE,87385,71.0
GI LEV 4 EA ADD MIN,SURG,30.0
PROCALCITONIN PCT,84145,226.0
FL-BARIUM ENEMA AIR,74280,2323.0
"IC-IVUS, ADDL",92979,8161.0
HEPARIN 1000U INJ,J1644,1.6
IR-VENACAVAGRAM INF,75825,15597.0
BR-DIG MAMMO BILAT,77066,265.0
S-THORACIC 3RD ORDER,36217,990.42
PHENCYCLIDINE PCP MS,83992,107.0
LE-TIB FIB 2V DR,73590,920.0
MAGNES SULF 500MGINJ,J3475,23.0
GAMMAGLOBULIN IGE,82785,225.0
US-VAS ACCSS SITES,76937,3306.0
JOINT DEVICE IMPLT 2,C1776,14690.0
PROCEDURE MINOR,SURG,733.0
LYME DISEASE AB,86618,614.0
PROCEDURE INTERMEDIA,SURG,2186.0
SIMPLE PROCEDURE,SURG,119.0
S-INJ NEPH URT NEW,SURG,3048.0
"PSA, FREE",84154,245.0
CATH ABLTN NOCRD ED2,C1888,14142.0
"GLUCOSE, BODY FLUID",82945,165.0
STNT NO COCV W/DEL 2,C1876,11248.0
NI-LW EXT DPX ART BI,93925,1826.0
SURG PATH GROSS LVL3,88304,264.0
CT-GUIDE TISSUE ABLA,77013,2208.0
CT-LOWER EXT WWO,73702,4352.0
INJECTION IV PUSH,96374,1038.0
CATH HEMODIAL ST 2,C1752,3166.0
SUCTION PROC-NASOTRA,31720,1148.0
S-INJ VENOGRAPHY,36005,2100.0
CATH-INFUS PERIF 5,C1751,2622.0
DESMOPRESSIN 1MCGINJ,J2597,76.0
UE-SHLDR 2VW PLUS DR,73030,1343.0
LACOSAMIDE 1MG INJ,C9254,1.8
CYTOCELL ENH X CR-VG,88112,239.0
SP-CERV SP 4TO5VW DR,72050,940.0
HPV HIGH RISK TYPES,87624,196.0
PEGFIL-JMDB .5MG INJ,Q5108,1252.0
OB TRIAGE LVL 3 EP,G0463,751.0
PROCHLORPERAZ 5MG PO,Q0164,12.0
CYTOMEG DNA AMP PROB,87496,322.0
NM-KID VF PHRM SNGL,78708,3838.0
FL-INJ PERC CHOL EXT,SURG,13531.0
BLD OCCULT FECES EIA,82274,78.0
LE-KNEE 3V DR,73562,537.0
ADRENL/EPINEP 0.1MG,J0171,4.7
ELECTROLYTE PANEL,80051,193.0
CC-ILIAC ANG W-CATH,MANUL,1400.0
"FUNGI IDENTIF, MOLD",87107,63.0
DEGARELIX 1MG INJ,J9155,12.0
"COMP, TOTAL CH50",86162,351.0
TC99M DEPREOT-DOSE,A9536,258.0
CEFAZOLIN 500MG INJ,J0690,23.0
CT-GUIDE NEEDLE BX,77012,3390.0
HEPARIN 1000U INJ,J1644,9.4
NEOSTIGMINE .5MG INJ,J2710,4.4
IDAT EACH AB TITER,86886,309.0
S-THORACIC 1ST ORDER,36215,1863.0
COMPATIB TEST AHG,86922,140.0
FACTOR VIII RCMB 1U,J7192,6.5
BR-DIG MAMMO UNILAT,77065,213.0
HOMOVANILLIC ACID,83150,103.0
"ENCEPH, ST LOUIS",86653,50.0
IR-VASC EMB-OCC VENO,SURG,56652.0
VANCOMYCIN 500MG INJ,J3371,38.0
ULTRASND-15 MIN OT,97035,258.0
CRYOGLOBULIN,82595,192.0
LOCM 300-399MG/ML 1M,Q9967,3.7
"M.TUBERCULO,DNA,AMPP",87556,196.0
STNT NO COCV W/DEL 4,C1876,9864.0
SEMEN ANYL COMP-WDIF,89320,501.0
TC99M EXAME - DOSE,A9521,9197.0
TC99 TILMAN DX .5MCI,A9520,1137.0
US-CRAN DPLX SCN BIL,93880,1985.0
BILIRUBIN TOTAL,82247,78.0
CHLORIDE BLOOD,82435,97.0
S-ME RM PERIC OB CVD,SURG,13437.0
LEAD PMKR NON-TRN L2,C1898,2311.0
VALPROIC ACID FREE,80165,470.0
ETOPOSIDE 10MG INJ,J9181,5.9
CYP3A5 GENE COMMON,81231,557.0
CC-PERICARDIO W/IMG,33016,5298.0
OR LEV 2 INI 15 MIN,SURG,9545.0
ESTROGENS FRACT,82671,144.0
IR-THRMBC DIAG ANGIO,SURG,27408.0
RESLIZUMAB 1MG INJ,J2786,33.0
LIPOPROTEIN LP-PLA2,83698,228.0
CTA-LOWER EXT BI,73706,7456.0
RANITIDINE 25MG INJ,J2780,51.0
COG SKL DV INI15 OT,97129,265.0
D5W/SOD CHL.9% 500ML,J7042,91.0
TOXOPLASMA AB,86777,146.0
THYROGLOBULIN AB,86800,211.0
US-ABDOMEN LTD WO,76705,905.0
NI-TEE COMP 2D MM WO,93312,5876.0
SURG PATH GROSS LVL6,88309,1118.0
LEAD NEUROSTIMULAT 4,C1778,39698.0
PEEL-AWAY SHEATH 1,C1892,515.0
PT EVAL- LOW CMP PT,97161,633.0
ALTEPLASE RECOM 1MG,J2997,276.0
LE-LWEXT INFNT BI DR,73592,623.0
S-RM RENAL TUBE W FL,SURG,2408.0
MESH IMPLANTABLE 9,C1781,22034.0
NEG PR WN LT50CM PTA,97605,955.0
BLOOD TRANSFUSION,36430,4041.0
CT-ABD PELVIS WO,74176,3371.0
ESTROGEN CNJ 25MGINJ,J1410,1122.0
CEFOTAXIME NA 1GM,J0698,25.0
TRANSFERASE AST,84450,76.0
LEVEL 1 EP,G0463,457.0
UE-HAND 2V DR,73120,761.0
MASS SPECTRO QUANT,83789,141.0
OT EVAL- HGH CMP OT,97167,996.0
PROT E-PHOR-URIN-CSF,84166,236.0
S-C1 C2 TX DI INJ,SURG,2130.0
CITRATE,82507,229.0
MR-BREAST BI WWO,C8908,2209.0
"GENOTYPE,DNA,HIV REV",87901,891.0
"ROTAVIRUS AG,EIA",87425,538.0
DHEA-S,82627,186.0
CEFOXITIN 1GM INJ,J0694,40.0
PATH CONSULT-INTRADD,88332,60.0
OR LEV 4 INI 15 MIN,SURG,13360.0
FL-GASTRO TUBE PLACE,SURG,6743.0
BREAST IMPLANT 2,C1789,12731.0
OR LEV 6 EA ADD MIN,SURG,195.0
HE-MANDIBLE LTD DR,70100,470.0
"ENCEPH, WEST EQUINE",86654,50.0
VITAMIN A,84590,294.0
CT-ABD PARACEN W IMG,49083,3687.0
LEAD PMKR NON-TRN L1,C1898,10425.0
LE-KNEE 3VWS BI DR,73562,1075.0
LACTATE DEHYDROLDH,83615,100.0
ANCHOR/SCRW LEVEL 18,C1713,50117.0
"SODIUM,SER PL OR WB",84295,90.0
IC-COR THROMBECTOMY,92973,2426.0
BLOOD TRANSF 4 6 HRS,36430,3973.0
CEFAZOLIN 500MG INJ,J0690,3.6
"CRP,HIGHLY SENS",86141,289.0
MIDAZOL HCL 1MG INJ,J2250,9.4
MODSED SAME ADD15MIN,99153,289.0
CEFOXITIN 1GM INJ,J0694,47.0
PRSTHS URNARY SPHC 1,C1815,10200.0
OT EVAL- LOW CMP OT,97165,996.0
MESH IMPLANTABLE 1,C1781,1499.0
FETAL HGB KLEIH-BETK,85460,703.0
CC-R-L HRT ART-ANGIO,93461,84855.0
MR-LOWER EXTR WWO,73720,5910.0
DIGOXIN 0.5MG INJ,J1160,47.0
BLOOD TRANSFUSION,36430,3973.0
ZINC,84630,245.0
S-INJ CATH HYSTERSO,58340,979.0
RBC PRETREAT W-INHIB,86977,192.0
S-ID SENTINEL NODE,38792,1750.0
MITOCHONDRIAL AB EA,86381,318.0
S-JOINT ASP-INJ IM,20605,1051.0
IVIG (GAMUNEX) 500MG,J1561,215.0
HEMOGLOBIN ELECTRO,83020,96.0
IMM ADM 1ST VACCINE,90471,254.0
US-PELVIS PREG,76805,1657.0
IMM E-PHORS-URIN-CSF,86335,923.0
IMMUNODIFFUSION,86329,89.0
INTUBATION,SURG,2287.0
PF TST PLETHYSMOGRA,94726,1429.0
S-TIB-PER REVASC STN,SURG,1432.0
US-SPINAL CANAL,76800,1171.0
ESTRIOL,82677,190.0
UE-HAND 3V DR,73130,1162.0
ONCO OVAR 2 PROT,81500,754.0
MECH VENT INITIAL,94002,11829.0
"PROTEIN S, TOTAL",85305,412.0
C DIFF AMPLI PROBE,87493,197.0
POST AR TRA EM LV 5F,99285,11081.0
URGENT CARE LVL 1 EP,G0463,50.0
ORAL FUNC TX-VIS,92526,1047.0
MULTI SLEEP LAT,95805,2703.0
COG SKL DV INI15 SP,97129,235.0
S-INJ WRIST ARTHRO,25246,671.0
S-SINUS TRCT INJ DIA,SURG,532.0
MR-PELVIS WWO,72197,7348.0
BNE SRVY CMP METS DR,77075,908.0
NM-PAR PLAN THY IMG,78070,4766.0
URGENT CARE LVL 5 EP,G0463,254.05
EPICEL SQ CM,Q4100,750.0
FL-LOWER GI FOLLOW,74248,462.0
UE-SCAPULA DR,73010,753.0
FOLLICLE STIM HORM,83001,229.0
CATH-DRAINAG LEVEL 2,C1729,1526.0
MANGANESE,83785,134.0
PROSTAGLANDIN,84150,139.0
US-PLC LOC DVCE 1ST,MANUL,3503.0
BETA-2 MICROGLOBULIN,82232,448.0
BARBITURATES MS,80345,83.0
S-JNT ASP INJ MAJ UN,SURG,957.0
PNEUMOCOC 13-VAL IM,90670,727.0
IR-RV IVL TIB PER,SURG,30774.0
ICC ADD AB PER SLIDE,88341,301.0
PT EVAL- MOD CMP PT,97162,633.0
IR-INS TUN IP CATH P,SURG,11015.0
ADRENL/EPINEP 0.1MG,J0171,9.0
VITAMIN B-2,84252,92.0
S-INS CATH RENART 2U,SURG,22988.0
"T CELL,ABSO CD4-CD8",86360,344.0
MUL-LY COM LWRLG PT,29581,619.0
THYROID STIM IMMUNO,84445,388.0
HEART FLOW MEASURE,93571,2415.0
S-TRNSCTH THROM VEN,SURG,13437.0
CH-CHEST 4V DR,71048,825.0
IVIG (GAMUNEX) 500MG,J1561,222.0
FONDAPARIN 0.5MG INJ,J1652,27.0
HE-FACIAL BNES 3V DR,70150,947.0
HE-SINUSES LTD DR,70210,532.0
CHROMOSOME ANALYS 45,88263,673.0
BLOOD TRANSF 0 2 HRS,36430,3973.0
CEFTRIAXONE 250MGINJ,J0696,5.8
SP-LS SPN 2 TO 3V DR,72100,886.0
MRA-HEAD W,70545,4435.0
CANDIDA AB,86628,78.0
FOLIC ACID RBC,82747,278.0
EVENT RECRDR CARDIAC,C1764,27801.0
URGENT CARE LVL 4 EP,G0463,134.0
IR-VENACAVAGRAM INF,75825,17629.0
"WBC DIFF, MAN",85007,58.0
CC-DRUM ADM-HEMODYNC,93463,2120.0
S-H PLAT PHERE L-R,P9035,6677.0
SP-T SPNE 4PLUS V DR,72074,956.0
CATH-ANGIO LEVEL 3,C1725,4870.0
"PORPHYRINS,FEC,QUAN",84126,188.0
LE-FOOT 2V DR,73620,751.0
TRG GENE REARRANGE,81342,1128.0
"HEPATITIS C,RNA,QUAN",87522,330.0
NUSHIELD SQ CM,Q4160,566.0
TC99M SULF COL- DOSE,A9541,996.0
LE-TIB FIB 2V DR,73590,920.0
SP-THORACOLMBR 2V DR,72080,581.0
"PROTEIN C, AG",85302,412.0
PHENOTYPE INFECT DRG,87900,791.0
CT-ORBIT EAR WWO,70482,4585.0
PROCEDURE COMPLEX,SURG,4967.0
CT-THOR SPINE W,72129,4326.0
IGH GENE REARRANGE,81261,1107.0
US-FETAL BIO W NST,76818,1336.0
PULSE OXIMTRY SINGLE,94760,55.0
US-EXT ARTERIAL LTD,93922,526.0
CTA-ABDOMEN,74175,6921.0
BETAM ACE/SOD PHO3MG,J0702,53.0
LE-KNEE 1 TO 2V DR,73560,315.0
LINEZOLID 200 MG,J2020,127.0
LIDOCAINE 10MG IV,J2001,0.9
CATH THRMB/EMBOL 4,C1757,1966.0
PROCEDURE MINOR,SURG,782.0
VASOPRESSIN,84588,278.0
S-ABD/RETRPER NDL BX,SURG,8106.0
ERYTHROPOIETIN,82668,390.0
LYME DIS DNA AMP PRO,87476,256.0
FUROSEMIDE 20MG INJ,J1940,47.0
VESS MAP HEMO ACC BI,93985,968.0
SP-EVAL SWL W-RADOPQ,92611,2732.0
PATIENT PROGR NEURO2,C1787,4469.0
CYCLOSPORNE 100MG PO,J7502,25.0
L4 TRAUMA CTR L4 ACT,G0390,5200.0
CH-CHEST 1V DR,71045,727.0
SPECIMEN CONCENTRATI,87015,211.0
MSH2 DUP-DEL VARIANT,81297,609.0
IR-VENOUS M THROM AD,SURG,12591.0
PLATELET AGGREGATION,85576,260.0
EGFR GENE COM VAR,81235,1465.0
TRAMADOL MS,80373,74.0
NM-MECKELS SCAN,78290,2303.0
S-INTROCATH R L PULM,36014,1400.0
NM-TUMOR LOC LMTD 1D,78800,5681.0
S-INJ WRIST ARTHRO,25246,671.0
CATH-INFUS PERIF 11,C1751,12731.0
CARBAMAZEPINE TOTAL,80156,487.0
S-INTERDISK PERQ ASP,SURG,2820.0
IR-RVSC IV ESWL,SURG,30774.0
HEPARIN NA 10U FLUSH,J1642,0.9
US-LW EXT DPX ART BI,93925,1712.0
BILIRUBIN DIRECT,82248,143.0
ONDANSETRON 1MG PO,Q0162,16.0
AMPICILLIN 500MG INJ,J0290,47.0
UE-SCAPULA DR,73010,753.0
CT-BX NDL LUNG MEDIA,SURG,11495.0
S-DIAL EMBOLJ,SURG,1227.0
LEGIONELLA AB,86713,132.0
SP-ENTIRE SPNE 1V DR,72081,269.0
DOBUTAMINE 250MG INJ,J1250,47.0
ANTIPSYCH NOS MS 7PL,80344,115.0
NEG PR WN MD GT 50CM,97608,1792.0
CAFFEINE CIT 5MG INJ,J0706,8.75
ACYCLOVIR 5MG INJ,J0133,1.0
OT EVAL- MOD CMP OT,97166,996.0
IVIG (GAMMAGD) 500MG,J1569,250.0
BLOOD TRANSF 2 4 HRS,36430,3973.0
IR-CAT DIAL TRAN STN,SURG,56652.0
MORPHINE UP TO 10MG,J2270,25.0
CONN TISSUE HUMAN 5,C1762,22120.0
L4 TRAUMA CTR FULL,G0390,9100.0
LEVEL 2 NP,G0463,464.0
PYRUVATE KINASE,84220,46.0
HALOPERIDOL 5MG INJ,J1630,47.0
BOTULINUM TOXI A 1U,J0585,22.0
OPIATES MS 1 PL,80361,109.0
IVIG (GAMUNEX) 500MG,J1561,215.0
IC-PRQ STNT W-ANG EA,92929,46247.0
LEVETIRACET 10MG INJ,J1953,5.6
"D-DIMER, QUANT",85379,493.0
OR LEV 5 INI 15 MIN,SURG,15270.0
INHALATION TRTMT INI,94640,1014.0
INFLUENZA ASSAY W-OP,87804,90.0
L489150 MPL MUT AN,81338,288.0
GROWTH HORMONE,83003,143.0
P-IMPLNT LOOP REC,33285,6281.0
IMPLANT OTHER LVL 3,C1889,3581.0
US-GUIDE INTRAOPERAT,76998,1649.0
WEST NILE VIR AB,86789,75.0
UE-FOREARM 2VW BI DR,73090,1612.0
DIPHENHYDRAM 50MGINJ,J1200,47.0
FLT2 IT DUP VARIANTS,81245,600.0
EXAM SURG SPECMN DR,76098,2128.0
CARBON DIOXIDE CO2,82374,59.0
US-DRN INJ INTM JT W,20606,2991.0
MR-UPPER EXT WWO,73220,6042.0
HLA CLASS 1-2 AB QL,86828,213.0
ESTM UNAT A30 DY PT,G0281,347.0
EPICORD SQ CM,Q4187,625.0
FACTOR VIII VW AG,85246,782.0
DIGOXIN TOTAL,80162,441.0
MORPHINE UP TO 10MG,J2270,47.0
"T3,REVERSE",84482,136.0
NM-BONE SCAN 3 PHASE,78315,3437.0
PHENYLEPHRIN 1ML INJ,J2370,47.0
CT-ABD PELVIS W,74177,4435.0
MR-LOWER EXTR WO,73718,5526.0
ADM TOCLZMAB COV 2ND,M0250,954.0
HBO FB 30MN,G0277,658.0
EPOPROSTENOL 0.5MG,J1325,116.0
PROGESTERONE,84144,175.0
TOBRAMYCIN,80200,488.0
CISPLAT POW/SOL 10MG,J9060,23.0
ALLODERM SQ CM,Q4116,106.0
FERRITIN,82728,325.0
PROMETHAZI UPTO 50MG,J2550,47.0
PREOP NERVE BLOCK,SURG,971.0
FRUCTOSE SEMEN,82757,45.0
IV HYDRAT EA ADD HR,96361,266.0
CARCINOEMBRYONIC AG,82378,352.0
VITAMIN B-12,82607,315.0
OR LEV 6 INI 15 MIN,SURG,17177.0
FL-UROGRAPHY ANTE DR,74425,2942.0
ANCHOR/SCRW LEVEL 3,C1713,1645.0
GADOTERATE 0.1ML INJ,A9575,2.0
IR-FEM POP STNT ATHR,SURG,76397.0
S-PICC REMOVAL,G0463,495.0
IR-TIB PER REVAS ATH,SURG,76397.0
"FLOWCYTOMET-TC,1 MRK",88184,316.0
PALIPERIDONE 1MG INJ,J2426,43.0
IC-PRQ DE COR STNT,C9600,55666.0
GJB2 GENE FAM VAR,81253,211.0
"T CELL, ABSO CD4",86361,162.0
MYELOPEROXIDASE,83876,169.0
"GLUCOSE, POST DOSE",82950,66.0
CANDIDA DNA AMP PROB,87481,196.0
LEVOFLOXAC 250MG INJ,J1956,47.0
CAMPYLOBACTER AB,86625,495.0
VANCOMYCIN 500MG INJ,J3370,77.0
US-CATH FLUID COLXN,MANUL,5505.0
NM-GI BLOOD LOSS,78278,2854.0
C-REACTIVE PROTEIN,86140,28.0
LIPID PANEL,80061,314.0
CEFAZOLIN 500MG INJ,J0690,8.3
NI-TTE 2D W DOPP WWO,C8929,10076.0
INTERMEDIATE PROCEDR,SURG,1255.0
FETAL CONTRACTION ST,59020,696.0
AMPICILLIN/SUB 1.5GM,J0295,24.0
NI-VAS ACCSS SITES,76937,2240.0
CIRCUMCISION NEWBORN,MANUL,1149.0
FATTY ACIDS NONESTER,82725,67.0
POLIO VACCINE 0.5ML,90713,200.0
NM-MYOCRD SPECT MULT,78452,8055.0
LEVOFLOXAC 250MG INJ,J1956,84.0
GI LEV 2 EA ADD MIN,SURG,20.0
AQUAPORIN-4 AB FLOW,86053,791.0
ADM COV2 VAC JANSSEN,0031A,59.0
UE-FOREARM 2V DR,73090,806.0
S-BX LYMPH SUPRF NDL,SURG,3325.0
CLOSTRIDIUM DIF TOXN,87324,285.0
GABAPENTIN QT,80171,132.0
CATH-INFUS PERIF 4,C1751,2366.0
EMBOLIZATION COIL 2,L8699,3543.0
CT-ORBIT EAR W,70481,3959.0
SPEC CHAIN CUSTODY,99001,40.0
CEFTAROLIN 10MG INJ,J0712,12.0
RHEUMATOID FACT QUAN,86431,239.0
GENOTYPE DNA HEP B,87912,685.0
GASTRIN,82941,275.0
S-BX BONE SUPRFCL,SURG,7963.0
S-INS CENTRAL PORT,SURG,12655.0
CHEMO IV IN EA AD HR,96415,536.0
BRIEF ED VISIT,99281,491.0
IR-INJ W FLUR CV DEV,36598,903.0
OB TRIAGE LVL 5 EP,G0463,1004.0
"GENOTYPE,DNA,HEPAT C",87902,1558.0
FL-FLUORO CVAD ANY,77001,1103.0
COVID19 PRB,87635,116.0
ZOLEDRONIC ACID 1MG,J3489,80.0
SUMATRIPTAN 6MG INJ,J3030,319.0
PAD REHB PER SESSION,93668,457.0
"ENCEPH, EAST EQUINE",86652,50.0
PT RE-EVAL-VISIT PT,97164,383.0
SPLT SHRT ARM ST OT,29125,744.0
US-ABDOMN AAA SCREEN,76706,798.0
IVIG (OCTAGAM) 500MG,J1568,278.0
SNRPN-UBE3A METHYL,81331,174.0
MR-LW JOINT W,73722,3816.0
IR-PERC CHOLECYSTOST,47490,7608.0
S-INJ EPI BLD PATCH,62273,2268.0
BREAST IMPLANT 3,C1789,15668.0
METHACHOL 1MGINH NEB,J7674,3.8
DIHYDROXY VITAMIN D,82652,440.0
CT-PARV INJ L-S L1,SURG,2717.0
THERAPEUTIC DX SQ IM,96372,303.0
PROCHLORPE UPTO 10MG,J0780,112.0
"ANA,TITER",86039,176.0
S-INJ HIP ARTHRO,27093,786.0
DBRD NON-SEL-VIS PT,97602,955.0
SELENIUM,84255,217.0
THIAMINE 100MG INJ,J3411,23.0
CT-PELVIS W,72193,4353.0
KIT GENE AN D816 VAR,81273,455.0
IV THERAPY EA AD HR,96366,355.0
RUSSELL VIPER VEN DI,85613,122.0
MR-UPPER JOINT WO,73221,5510.0
COL CHRM NODRG EA,82542,102.0
PMKR DUAL RATE-RS L2,C1785,1311.0
CHEMO IV PUSH,96409,1398.0
DIPHENHYDRAM 50MG PO,Q0163,13.0
MR-CERV SPINE W,72142,5582.0
IR-EXAM G COLON TUBE,SURG,823.0
US-CATH FLUID DRAIN,10030,5403.0
LORAZEPAM 2MG INJ,J2060,47.0
SP-LS SPN 2 TO 3V DR,72100,886.0
BR-DIG MAMMO SCRN BI,77067,230.0
IV HYDRATION 1 HR,96360,929.0
CULT SKIN FUNGI,87101,382.0
AMINOPHYLL 250MG INJ,J0280,24.0
NRAS GENE VAR EX 2 3,81311,1072.0
MSED SAMEGT5 1ST15,99152,1180.0
S-DIAG BONE MAR BX,SURG,5713.0
"HEMOGLOBIN, CHROMA",83021,138.0
TISSUE NON-HUMAN 3,C1763,13710.0
I123 SODID-DX-100UCI,A9516,879.0
US-ABDOMEN COMP WO,76700,1376.0
IR-TLUM BAL ANG 1STV,SURG,24024.0
UE-FOREARM 2V DR,73090,806.0
LE-KNEE1TO2V BI DR,73560,631.0
METHYLPHENIDATE MS,80360,222.0
MESH IMPLANTABLE 3,C1781,7487.0
MILRINONE 5MG INJ,J2260,24.0
S-RETROURETHROCY INJ,51610,554.0
LE-HIP PLV BI 2V DR,73521,960.0
"T3,FREE",84481,362.0
HE-SINUSES 3VPLUS DR,70220,1124.0
S-PERC RMVL VAD LH,SURG,2942.0
INTERSPINOUS IMPL L2,C1821,1964.0
CEFTAZIDIM 500MG INJ,J0713,15.0
BLOOD TRANSF 6 8 HRS,36430,3973.0
CH-STRNOCLAV JNTS DR,71130,292.0
S-NEPHROSTOMY PERC,SURG,7746.0
S-INJ ANKLE ARTHRO,27648,615.0
DOBUTAMINE 250MG INJ,J1250,47.0
COVID19 AG OTH,U0002,116.0
US-ELASTO PARAENCHYM,76981,423.0
HE-MANDIBLE 4VPLS DR,70110,1106.0
S-FEM POP STNT ATHR,SURG,86353.0
PHYTONADIONE 1MG INJ,J3430,139.0
IR-THRMBC TRAN BAL,SURG,56652.0
MURAMIDASE,85549,83.0
GENRATE NEURO RECHR,C1820,99999.54
ENOXAPARIN 10MG INJ,J1650,39.0
PCN G BENZ/PROC 100K,J0558,41.0
IR-INTRAVASC US INI,SURG,22525.0
HFE GENE ANALY CV,81256,390.0
CATH-ANGIO LEVEL 2,C1725,2622.0
TIROFIBAN 0.25MG INJ,J3246,19.0
"GLU,HOME USE DIAGNOS",82962,67.0
HLA1-2 TYP HR,81378,1147.0
S-IN PICC W IMG LT5Y,SURG,2219.0
GUIDEWIRE LEVEL 4,C1769,3745.0
S-PERC ABLT LIVER RF,SURG,21205.0
THERA EA AD IV PUSH,96375,500.0
PROTAMINE 10MG INJ,J2720,15.0
PROCEDURE MAJOR,SURG,2730.0
MSH6 GENE ANALY FULL,81298,1015.0
S-INS PLEURAL CATH,SURG,13752.0
VITAMIN D 25OH,82306,352.0
FET ANEUP GSA PN,81420,1301.0
CPR,92950,1350.0
CRIT CARE EA 30 MIN,99292,2451.0
CATHETER GUIDING 3,C1887,6873.0
MORPHINE UP TO 10MG,J2270,47.0
LEVEL 5 EP,G0463,1410.0
VISCOSITY EXAM,85810,151.0
L4 TRAUMA CTR PART,G0390,5200.0
PROCAINAMID UPTO 1GM,J2690,311.0
MICROCAVITATION STDY,93799,17437.0
THYROGLOBULIN,84432,259.0
MAGNES SULF 500MGINJ,J3475,0.6
"INSULIN, FREE",83527,87.0
NEOSTIGMINE .5MG INJ,J2710,25.0
STREP B ASSAY W-OPTI,87802,89.0
PATIENT PROGR NEURO1,C1787,9278.0
ORTH TRN IN15MI COTA,97760,406.0
RUBEOLA AB,86765,77.0
MEDROXYPROG 1MG INJ,J1050,2.5
POSTOP NERVE BLOCK,SURG,971.0
OBSERVATION 1ST HOUR,G0378,2093.0
STRPPNG UNA BOOT PTA,29580,897.0
"SODIUM, URINE RANDOM",84300,166.0
STNT NONCOR TM W/O 2,C2617,293.0
CATH-DRAINAG LEVEL 3,C1729,2622.0
TC99M LABL RBC-DOSE,A9560,678.0
PIPER/TAZOB 1G/.125G,J2543,37.0
BONE AGE STUDY DR,77072,422.0
LDR PROCEDURE-INTERM,SURG,1176.0
FLU VAC NOPRSV ANTIG,90662,220.0
S-INS CATH RENART 1U,SURG,13437.0
OR LEV 5 INI 15 MIN,SURG,13718.0
GEMCITABIN 200MG INJ,J9201,46.0
PROC WND CARE MINOR,SURG,568.0
VIRUS ISOLATION GEN,87255,204.0
GRAFT VASCULAR 3,C1768,11248.0
LE-KNEE 1 TO 2V DR,73560,315.0
METHYLNALTR .1MG INJ,J2212,3.7
GUIDEWIRE LEVEL 5,C1769,5241.0
SOMATOSTATIN,84307,719.0
SEROTONIN,84260,474.0
CYTOGEN BAC-CGH-SNP,81229,3309.0
IR-THRMBC DIAG ANGIO,SURG,7005.0
CEFTRIAXONE 250MGINJ,J0696,12.0
CYCLOPHOSPH 25MG PO,J8530,32.0
IR-EXCHG BIL DR CATH,SURG,12258.0
MLH1 GENE ANALY FULL,81292,2593.0
ULTRASND-15 MIN PT,97035,258.0
AMKCN SULF INJ 100MG,J0278,16.0
FER CARBOXYM 1MG INJ,J1439,5.5
MSED GI SAMGT5 1ST15,G0500,1158.0
LE-HIP PLV BI 2V DR,73521,960.0
CONN TISSUE HUMAN 8,C1762,55301.0
TISS TRNSGL EA IG CL,86364,16.0
NM-LYMPHATICS NODES,78195,2319.0
COG SKL DV ADD15 OT,97130,265.0
