SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,Premera Blue Cross of AK - All Plans ,Premera Blue Cross of AK - CHS Employees - All Plans ,Aetna HMO PPO POS - All Plans ,Aetna AK Care (State) HMO PPO POS - All Plans ,Pacific Health Coalition PPO - All Plans ,United Healthcare PPO POS - All Plans ,Cigna PPO - All Plans ,MODA PPO - All Plans ,Multiplan PPO - All Plans 
1581011,BR-DIG MAMMO BILAT,77066,265,2/13/2023,132.5,79.5,121.635,248.835,128.79,121.635,185.765,178.61,149.99,176.755,190.535,197.955,248.835
1217370,CYCLOBENZAPRINE 10MG,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1213203,SELENIUM 200MCG CAP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
8061042,S-THORACIC 3RD ORDER,36217,990.42,2/13/2023,495.21,297.126,454.60278,930.00438,481.34412,454.60278,694.28442,667.54308,560.57772,660.61014,712.11198,739.84374,930.00438
1314412,PHENCYCLIDINE PCP MS,83992,107,2/13/2023,53.5,32.1,49.113,100.473,52.002,49.113,75.007,72.118,60.562,71.369,76.933,79.929,100.473
1660088,LE-TIB FIB 2V DR,73590,920,2/13/2023,460,276,422.28,863.88,447.12,422.28,644.92,620.08,520.72,613.64,661.48,687.24,863.88
1211187,MAGNES SULF 500MGINJ,J3475,23,2/13/2023,11.5,6.9,10.557,21.597,11.178,10.557,16.123,15.502,13.018,15.341,16.537,17.181,21.597
1217780,DICLOXACILL 250MG CP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
265114,R&B MNTL HLTH PRIV,,13332,2/13/2023,6666,3999.6,6119.388,12518.748,6479.352,6119.388,9345.732,8985.768,7545.912,8892.444,9585.708,9959.004,12518.748
1219913,NALOXONE .02MG/ML VL,,104,2/13/2023,52,31.2,47.736,97.656,50.544,47.736,72.904,70.096,58.864,69.368,74.776,77.688,97.656
1314266,GAMMAGLOBULIN IGE,82785,225,2/13/2023,112.5,67.5,103.275,211.275,109.35,103.275,157.725,151.65,127.35,150.075,161.775,168.075,211.275
8691133,US-VAS ACCSS SITES,76937,3306,2/13/2023,1653,991.8,1517.454,3104.334,1606.716,1517.454,2317.506,2228.244,1871.196,2205.102,2377.014,2469.582,3104.334
1414701,JOINT DEVICE IMPLT 2,C1776,14690,2/13/2023,7345,4407,6742.71,13793.91,7139.34,6742.71,10297.69,9901.06,8314.54,9798.23,10562.11,10973.43,13793.91
1110868,PROCEDURE MINOR,SURG,733,2/13/2023,366.5,219.9,336.447,688.287,356.238,336.447,513.833,494.042,414.878,488.911,527.027,547.551,688.287
1314656,LYME DISEASE AB,86618,614,2/13/2023,307,184.2,281.826,576.546,298.404,281.826,430.414,413.836,347.524,409.538,441.466,458.658,576.546
1110869,PROCEDURE INTERMEDIA,SURG,2186,2/13/2023,1093,655.8,1003.374,2052.654,1062.396,1003.374,1532.386,1473.364,1237.276,1458.062,1571.734,1632.942,2052.654
1921226,SIMPLE PROCEDURE,SURG,119,2/13/2023,59.5,35.7,54.621,111.741,57.834,54.621,83.419,80.206,67.354,79.373,85.561,88.893,111.741
1217573,DIPHENHYDRAMI25MG CP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1060096,S-INJ NEPH URT NEW,SURG,3048,2/13/2023,1524,914.4,1399.032,2862.072,1481.328,1399.032,2136.648,2054.352,1725.168,2033.016,2191.512,2276.856,2862.072
1217269,CARBAMAZEP 100MG CHW,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1217211,ZIPRASIDONE 20MG CAP,,66,2/13/2023,33,19.8,30.294,61.974,32.076,30.294,46.266,44.484,37.356,44.022,47.454,49.302,61.974
1314445,"PSA, FREE",84154,245,2/13/2023,122.5,73.5,112.455,230.055,119.07,112.455,171.745,165.13,138.67,163.415,176.155,183.015,230.055
1120011,PACU LEV 1 EA ADD MN,,2.1,2/13/2023,1.05,0.63,0.9639,1.9719,1.0206,0.9639,1.4721,1.4154,1.1886,1.4007,1.5099,1.5687,1.9719
1414151,CATH ABLTN NOCRD ED2,C1888,14142,2/13/2023,7071,4242.6,6491.178,13279.338,6873.012,6491.178,9913.542,9531.708,8004.372,9432.714,10168.098,10564.074,13279.338
1314278,"GLUCOSE, BODY FLUID",82945,165,2/13/2023,82.5,49.5,75.735,154.935,80.19,75.735,115.665,111.21,93.39,110.055,118.635,123.255,154.935
1211212,MORPH PO 10MG/5ML 5M,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1414971,STNT NO COCV W/DEL 2,C1876,11248,2/13/2023,5624,3374.4,5162.832,10561.872,5466.528,5162.832,7884.848,7581.152,6366.368,7502.416,8087.312,8402.256,10561.872
1050032,NI-LW EXT DPX ART BI,93925,1826,2/13/2023,913,547.8,838.134,1714.614,887.436,838.134,1280.026,1230.724,1033.516,1217.942,1312.894,1364.022,1714.614
1321077,SURG PATH GROSS LVL3,88304,264,2/13/2023,132,79.2,121.176,247.896,128.304,121.176,185.064,177.936,149.424,176.088,189.816,197.208,247.896
1210892,ALBUTEROL 90MCG 8GM,,137,2/13/2023,68.5,41.1,62.883,128.643,66.582,62.883,96.037,92.338,77.542,91.379,98.503,102.339,128.643
8631204,CT-GUIDE TISSUE ABLA,77013,2208,2/13/2023,1104,662.4,1013.472,2073.312,1073.088,1013.472,1547.808,1488.192,1249.728,1472.736,1587.552,1649.376,2073.312
1631550,CT-LOWER EXT WWO,73702,4352,2/13/2023,2176,1305.6,1997.568,4086.528,2115.072,1997.568,3050.752,2933.248,2463.232,2902.784,3129.088,3250.944,4086.528
1140134,ANES LV 4 EA ADD MIN,,25,2/13/2023,12.5,7.5,11.475,23.475,12.15,11.475,17.525,16.85,14.15,16.675,17.975,18.675,23.475
1913249,INJECTION IV PUSH,96374,1038,2/13/2023,519,311.4,476.442,974.682,504.468,476.442,727.638,699.612,587.508,692.346,746.322,775.386,974.682
1218185,POLYMYXIN B 500000U,,68,2/13/2023,34,20.4,31.212,63.852,33.048,31.212,47.668,45.832,38.488,45.356,48.892,50.796,63.852
1414178,CATH HEMODIAL ST 2,C1752,3166,2/13/2023,1583,949.8,1453.194,2972.874,1538.676,1453.194,2219.366,2133.884,1791.956,2111.722,2276.354,2365.002,2972.874
1710902,SUCTION PROC-NASOTRA,31720,1148,2/13/2023,574,344.4,526.932,1077.972,557.928,526.932,804.748,773.752,649.768,765.716,825.412,857.556,1077.972
8061029,S-INJ VENOGRAPHY,36005,2100,2/13/2023,1050,630,963.9,1971.9,1020.6,963.9,1472.1,1415.4,1188.6,1400.7,1509.9,1568.7,1971.9
1414404,CATH-INFUS PERIF 5,C1751,2622,2/13/2023,1311,786.6,1203.498,2462.058,1274.292,1203.498,1838.022,1767.228,1484.052,1748.874,1885.218,1958.634,2462.058
1211324,DESMOPRESSIN 1MCGINJ,J2597,76,2/13/2023,38,22.8,34.884,71.364,36.936,34.884,53.276,51.224,43.016,50.692,54.644,56.772,71.364
1610060,UE-SHLDR 2VW PLUS DR,73030,1343,2/13/2023,671.5,402.9,616.437,1261.077,652.698,616.437,941.443,905.182,760.138,895.781,965.617,1003.221,1261.077
1211616,LACOSAMIDE 1MG INJ,C9254,1.8,2/13/2023,0.9,0.54,0.8262,1.6902,0.8748,0.8262,1.2618,1.2132,1.0188,1.2006,1.2942,1.3446,1.6902
1321126,CYTOCELL ENH X CR-VG,88112,239,2/13/2023,119.5,71.7,109.701,224.421,116.154,109.701,167.539,161.086,135.274,159.413,171.841,178.533,224.421
1610035,SP-CERV SP 4TO5VW DR,72050,940,2/13/2023,470,282,431.46,882.66,456.84,431.46,658.94,633.56,532.04,626.98,675.86,702.18,882.66
1210710,LIDO-MPF1%/EPI 10ML,,47,2/13/2023,23.5,14.1,21.573,44.133,22.842,21.573,32.947,31.678,26.602,31.349,33.793,35.109,44.133
1316547,HPV HIGH RISK TYPES,87624,196,2/13/2023,98,58.8,89.964,184.044,95.256,89.964,137.396,132.104,110.936,130.732,140.924,146.412,184.044
1214787,PEGFIL-JMDB .5MG INJ,Q5108,1252,2/13/2023,626,375.6,574.668,1175.628,608.472,574.668,877.652,843.848,708.632,835.084,900.188,935.244,1175.628
282853,OB TRIAGE LVL 3 EP,G0463,751,2/13/2023,375.5,225.3,344.709,705.189,364.986,344.709,526.451,506.174,425.066,500.917,539.969,560.997,705.189
7212086,PROCHLORPERAZ 5MG PO,Q0164,12,2/13/2023,6,3.6,5.508,11.268,5.832,5.508,8.412,8.088,6.792,8.004,8.628,8.964,11.268
1217548,LITHIUM CARB 300MGCP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1314958,CYTOMEG DNA AMP PROB,87496,322,2/13/2023,161,96.6,147.798,302.358,156.492,147.798,225.722,217.028,182.252,214.774,231.518,240.534,302.358
1651115,NM-KID VF PHRM SNGL,78708,3838,2/13/2023,1919,1151.4,1761.642,3603.882,1865.268,1761.642,2690.438,2586.812,2172.308,2559.946,2759.522,2866.986,3603.882
1691274,FL-INJ PERC CHOL EXT,SURG,13531,2/13/2023,6765.5,4059.3,6210.729,12705.609,6576.066,6210.729,9485.231,9119.894,7658.546,9025.177,9728.789,10107.657,12705.609
1314158,BLD OCCULT FECES EIA,82274,78,2/13/2023,39,23.4,35.802,73.242,37.908,35.802,54.678,52.572,44.148,52.026,56.082,58.266,73.242
1610084,LE-KNEE 3V DR,73562,537,2/13/2023,268.5,161.1,246.483,504.243,260.982,246.483,376.437,361.938,303.942,358.179,386.103,401.139,504.243
1212498,ADRENL/EPINEP 0.1MG,J0171,4.7,2/13/2023,2.35,1.41,2.1573,4.4133,2.2842,2.1573,3.2947,3.1678,2.6602,3.1349,3.3793,3.5109,4.4133
1213991,EMPAGLIFLOZ 10MG TAB,,66,2/13/2023,33,19.8,30.294,61.974,32.076,30.294,46.266,44.484,37.356,44.022,47.454,49.302,61.974
1314109,ELECTROLYTE PANEL,80051,193,2/13/2023,96.5,57.9,88.587,181.227,93.798,88.587,135.293,130.082,109.238,128.731,138.767,144.171,181.227
8061189,CC-ILIAC ANG W-CATH,MANUL,1400,2/13/2023,700,420,642.6,1314.6,680.4,642.6,981.4,943.6,792.4,933.8,1006.6,1045.8,1314.6
1314860,"FUNGI IDENTIF, MOLD",87107,63,2/13/2023,31.5,18.9,28.917,59.157,30.618,28.917,44.163,42.462,35.658,42.021,45.297,47.061,59.157
15110,R&B M/S PRIVATE,,5183,2/13/2023,2591.5,1554.9,2378.997,4866.837,2518.938,2378.997,3633.283,3493.342,2933.578,3457.061,3726.577,3871.701,4866.837
282822,L&D REC LVL 2 PER HR,,1134,2/13/2023,567,340.2,520.506,1064.826,551.124,520.506,794.934,764.316,641.844,756.378,815.346,847.098,1064.826
1211988,DEGARELIX 1MG INJ,J9155,12,2/13/2023,6,3.6,5.508,11.268,5.832,5.508,8.412,8.088,6.792,8.004,8.628,8.964,11.268
1314583,"COMP, TOTAL CH50",86162,351,2/13/2023,175.5,105.3,161.109,329.589,170.586,161.109,246.051,236.574,198.666,234.117,252.369,262.197,329.589
8650030,TC99M DEPREOT-DOSE,A9536,258,2/13/2023,129,77.4,118.422,242.262,125.388,118.422,180.858,173.892,146.028,172.086,185.502,192.726,242.262
7219036,CEFAZOLIN 500MG INJ,J0690,23,2/13/2023,11.5,6.9,10.557,21.597,11.178,10.557,16.123,15.502,13.018,15.341,16.537,17.181,21.597
8631203,CT-GUIDE NEEDLE BX,77012,3390,2/13/2023,1695,1017,1556.01,3183.21,1647.54,1556.01,2376.39,2284.86,1918.74,2261.13,2437.41,2532.33,3183.21
1217555,LOSARTAN 50MG TAB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1210902,HEPARIN 1000U INJ,J1644,9.4,2/13/2023,4.7,2.82,4.3146,8.8266,4.5684,4.3146,6.5894,6.3356,5.3204,6.2698,6.7586,7.0218,8.8266
1219431,LORAZEPAM 2MG/ML 1ML,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1219980,LIDOCAIN 1%/EPI 20ML,,47,2/13/2023,23.5,14.1,21.573,44.133,22.842,21.573,32.947,31.678,26.602,31.349,33.793,35.109,44.133
1414507,DRILL BIT/BLADE LVL8,,12268,2/13/2023,6134,3680.4,5631.012,11519.652,5962.248,5631.012,8599.868,8268.632,6943.688,8182.756,8820.692,9164.196,11519.652
1211531,NEOSTIGMINE .5MG INJ,J2710,4.4,2/13/2023,2.2,1.32,2.0196,4.1316,2.1384,2.0196,3.0844,2.9656,2.4904,2.9348,3.1636,3.2868,4.1316
1314537,IDAT EACH AB TITER,86886,309,2/13/2023,154.5,92.7,141.831,290.151,150.174,141.831,216.609,208.266,174.894,206.103,222.171,230.823,290.151
8061040,S-THORACIC 1ST ORDER,36215,1863,2/13/2023,931.5,558.9,855.117,1749.357,905.418,855.117,1305.963,1255.662,1054.458,1242.621,1339.497,1391.661,1749.357
1314093,COMPATIB TEST AHG,86922,140,2/13/2023,70,42,64.26,131.46,68.04,64.26,98.14,94.36,79.24,93.38,100.66,104.58,131.46
1214683,FACTOR VIII RCMB 1U,J7192,6.5,2/13/2023,3.25,1.95,2.9835,6.1035,3.159,2.9835,4.5565,4.381,3.679,4.3355,4.6735,4.8555,6.1035
1581012,BR-DIG MAMMO UNILAT,77065,213,2/13/2023,106.5,63.9,97.767,200.007,103.518,97.767,149.313,143.562,120.558,142.071,153.147,159.111,200.007
1314326,HOMOVANILLIC ACID,83150,103,2/13/2023,51.5,30.9,47.277,96.717,50.058,47.277,72.203,69.422,58.298,68.701,74.057,76.941,96.717
1314671,"ENCEPH, ST LOUIS",86653,50,2/13/2023,25,15,22.95,46.95,24.3,22.95,35.05,33.7,28.3,33.35,35.95,37.35,46.95
1131114,ANES LV 4 INI 15 MIN,,2440,2/13/2023,1220,732,1119.96,2291.16,1185.84,1119.96,1710.44,1644.56,1381.04,1627.48,1754.36,1822.68,2291.16
1218124,BELLADON/OPIUM SUPPO,,122,2/13/2023,61,36.6,55.998,114.558,59.292,55.998,85.522,82.228,69.052,81.374,87.718,91.134,114.558
1061594,IR-VASC EMB-OCC VENO,SURG,56652,2/13/2023,28326,16995.6,26003.268,53196.228,27532.872,26003.268,39713.052,38183.448,32065.032,37786.884,40732.788,42319.044,53196.228
1218206,PRAZOSIN 5MG CAP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1215657,VANCOMYCIN 500MG INJ,J3371,38,2/13/2023,19,11.4,17.442,35.682,18.468,17.442,26.638,25.612,21.508,25.346,27.322,28.386,35.682
1218429,TIZANIDINE 2MG TAB,,12,2/13/2023,6,3.6,5.508,11.268,5.832,5.508,8.412,8.088,6.792,8.004,8.628,8.964,11.268
1864945,ULTRASND-15 MIN OT,97035,258,2/13/2023,129,77.4,118.422,242.262,125.388,118.422,180.858,173.892,146.028,172.086,185.502,192.726,242.262
1314221,CRYOGLOBULIN,82595,192,2/13/2023,96,57.6,88.128,180.288,93.312,88.128,134.592,129.408,108.672,128.064,138.048,143.424,180.288
7218044,LOCM 300-399MG/ML 1M,Q9967,3.7,2/13/2023,1.85,1.11,1.6983,3.4743,1.7982,1.6983,2.5937,2.4938,2.0942,2.4679,2.6603,2.7639,3.4743
1314991,"M.TUBERCULO,DNA,AMPP",87556,196,2/13/2023,98,58.8,89.964,184.044,95.256,89.964,137.396,132.104,110.936,130.732,140.924,146.412,184.044
1417117,STNT NO COCV W/DEL 4,C1876,9864,2/13/2023,4932,2959.2,4527.576,9262.296,4793.904,4527.576,6914.664,6648.336,5583.024,6579.288,7092.216,7368.408,9262.296
1218645,PHENYTOIN EXT 30MGCP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1316343,SEMEN ANYL COMP-WDIF,89320,501,2/13/2023,250.5,150.3,229.959,470.439,243.486,229.959,351.201,337.674,283.566,334.167,360.219,374.247,470.439
1217996,MEXILETINE 150MG CAP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1414505,DRILL BIT/BLADE LVL6,,5241,2/13/2023,2620.5,1572.3,2405.619,4921.299,2547.126,2405.619,3673.941,3532.434,2966.406,3495.747,3768.279,3915.027,4921.299
1217909,TERAZOSIN 5MG CAP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
8650026,TC99M EXAME - DOSE,A9521,9197,2/13/2023,4598.5,2759.1,4221.423,8635.983,4469.742,4221.423,6447.097,6198.778,5205.502,6134.399,6612.643,6870.159,8635.983
7210081,MEMANTINE 5MG TAB,,37,2/13/2023,18.5,11.1,16.983,34.743,17.982,16.983,25.937,24.938,20.942,24.679,26.603,27.639,34.743
1215199,DROXIDOPA 100MG CAP,,107,2/13/2023,53.5,32.1,49.113,100.473,52.002,49.113,75.007,72.118,60.562,71.369,76.933,79.929,100.473
8650025,TC99 TILMAN DX .5MCI,A9520,1137,2/13/2023,568.5,341.1,521.883,1067.643,552.582,521.883,797.037,766.338,643.542,758.379,817.503,849.339,1067.643
1050025,US-CRAN DPLX SCN BIL,93880,1985,2/13/2023,992.5,595.5,911.115,1863.915,964.71,911.115,1391.485,1337.89,1123.51,1323.995,1427.215,1482.795,1863.915
1314152,BILIRUBIN TOTAL,82247,78,2/13/2023,39,23.4,35.802,73.242,37.908,35.802,54.678,52.572,44.148,52.026,56.082,58.266,73.242
7210540,HYALURONID 150UN INJ,,302,2/13/2023,151,90.6,138.618,283.578,146.772,138.618,211.702,203.548,170.932,201.434,217.138,225.594,283.578
1314186,CHLORIDE BLOOD,82435,97,2/13/2023,48.5,29.1,44.523,91.083,47.142,44.523,67.997,65.378,54.902,64.699,69.743,72.459,91.083
1061697,S-ME RM PERIC OB CVD,SURG,13437,2/13/2023,6718.5,4031.1,6167.583,12617.343,6530.382,6167.583,9419.337,9056.538,7605.342,8962.479,9661.203,10037.439,12617.343
1410052,LEAD PMKR NON-TRN L2,C1898,2311,2/13/2023,1155.5,693.3,1060.749,2170.029,1123.146,1060.749,1620.011,1557.614,1308.026,1541.437,1661.609,1726.317,2170.029
1316451,VALPROIC ACID FREE,80165,470,2/13/2023,235,141,215.73,441.33,228.42,215.73,329.47,316.78,266.02,313.49,337.93,351.09,441.33
1410010,OTH STER SUPP LVL 10,,5091,2/13/2023,2545.5,1527.3,2336.769,4780.449,2474.226,2336.769,3568.791,3431.334,2881.506,3395.697,3660.429,3802.977,4780.449
1218868,VERAPAMIL 120MG SRCP,,22,2/13/2023,11,6.6,10.098,20.658,10.692,10.098,15.422,14.828,12.452,14.674,15.818,16.434,20.658
1217741,HYDROCORT 25MG SUPP,,111,2/13/2023,55.5,33.3,50.949,104.229,53.946,50.949,77.811,74.814,62.826,74.037,79.809,82.917,104.229
7211904,ETOPOSIDE 10MG INJ,J9181,5.9,2/13/2023,2.95,1.77,2.7081,5.5401,2.8674,2.7081,4.1359,3.9766,3.3394,3.9353,4.2421,4.4073,5.5401
1317561,CYP3A5 GENE COMMON,81231,557,2/13/2023,278.5,167.1,255.663,523.023,270.702,255.663,390.457,375.418,315.262,371.519,400.483,416.079,523.023
1064902,CC-PERICARDIO W/IMG,33016,5298,2/13/2023,2649,1589.4,2431.782,4974.822,2574.828,2431.782,3713.898,3570.852,2998.668,3533.766,3809.262,3957.606,4974.822
1110802,OR LEV 2 INI 15 MIN,SURG,9545,2/13/2023,4772.5,2863.5,4381.155,8962.755,4638.87,4381.155,6691.045,6433.33,5402.47,6366.515,6862.855,7130.115,8962.755
1314242,ESTROGENS FRACT,82671,144,2/13/2023,72,43.2,66.096,135.216,69.984,66.096,100.944,97.056,81.504,96.048,103.536,107.568,135.216
1061704,IR-THRMBC DIAG ANGIO,SURG,27408,2/13/2023,13704,8222.4,12580.272,25736.112,13320.288,12580.272,19213.008,18472.992,15512.928,18281.136,19706.352,20473.776,25736.112
1214933,RESLIZUMAB 1MG INJ,J2786,33,2/13/2023,16.5,9.9,15.147,30.987,16.038,15.147,23.133,22.242,18.678,22.011,23.727,24.651,30.987
1315154,LIPOPROTEIN LP-PLA2,83698,228,2/13/2023,114,68.4,104.652,214.092,110.808,104.652,159.828,153.672,129.048,152.076,163.932,170.316,214.092
1631511,CTA-LOWER EXT BI,73706,7456,2/13/2023,3728,2236.8,3422.304,7001.184,3623.616,3422.304,5226.656,5025.344,4220.096,4973.152,5360.864,5569.632,7001.184
1210876,RANITIDINE 25MG INJ,J2780,51,2/13/2023,25.5,15.3,23.409,47.889,24.786,23.409,35.751,34.374,28.866,34.017,36.669,38.097,47.889
1212899,ACETAMINOP 80MG DISP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1212850,MOME/FORM 200/5 8.8G,,759,2/13/2023,379.5,227.7,348.381,712.701,368.874,348.381,532.059,511.566,429.594,506.253,545.721,566.973,712.701
1855200,COG SKL DV INI15 OT,97129,265,2/13/2023,132.5,79.5,121.635,248.835,128.79,121.635,185.765,178.61,149.99,176.755,190.535,197.955,248.835
7211960,D5W/SOD CHL.9% 500ML,J7042,91,2/13/2023,45.5,27.3,41.769,85.449,44.226,41.769,63.791,61.334,51.506,60.697,65.429,67.977,85.449
1314724,TOXOPLASMA AB,86777,146,2/13/2023,73,43.8,67.014,137.094,70.956,67.014,102.346,98.404,82.636,97.382,104.974,109.062,137.094
1314731,THYROGLOBULIN AB,86800,211,2/13/2023,105.5,63.3,96.849,198.129,102.546,96.849,147.911,142.214,119.426,140.737,151.709,157.617,198.129
1621514,US-ABDOMEN LTD WO,76705,905,2/13/2023,452.5,271.5,415.395,849.795,439.83,415.395,634.405,609.97,512.23,603.635,650.695,676.035,849.795
1050089,NI-TEE COMP 2D MM WO,93312,5876,2/13/2023,2938,1762.8,2697.084,5517.564,2855.736,2697.084,4119.076,3960.424,3325.816,3919.292,4224.844,4389.372,5517.564
1321080,SURG PATH GROSS LVL6,88309,1118,2/13/2023,559,335.4,513.162,1049.802,543.348,513.162,783.718,753.532,632.788,745.706,803.842,835.146,1049.802
1217270,CARBAMAZEPINE 200MGT,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1417227,LEAD NEUROSTIMULAT 4,C1778,39698,2/13/2023,19849,11909.4,18221.382,37276.422,19293.228,18221.382,27828.298,26756.452,22469.068,26478.566,28542.862,29654.406,37276.422
1221001,D5NS+KCL 20MEQ 1000M,,182,2/13/2023,91,54.6,83.538,170.898,88.452,83.538,127.582,122.668,103.012,121.394,130.858,135.954,170.898
1414800,PEEL-AWAY SHEATH 1,C1892,515,2/13/2023,257.5,154.5,236.385,483.585,250.29,236.385,361.015,347.11,291.49,343.505,370.285,384.705,483.585
1814900,PT EVAL- LOW CMP PT,97161,633,2/13/2023,316.5,189.9,290.547,594.387,307.638,290.547,443.733,426.642,358.278,422.211,455.127,472.851,594.387
1210027,ALTEPLASE RECOM 1MG,J2997,276,2/13/2023,138,82.8,126.684,259.164,134.136,126.684,193.476,186.024,156.216,184.092,198.444,206.172,259.164
1660147,LE-LWEXT INFNT BI DR,73592,623,2/13/2023,311.5,186.9,285.957,584.997,302.778,285.957,436.723,419.902,352.618,415.541,447.937,465.381,584.997
1217609,ENALAPRIL 5MG TAB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1612379,S-RM RENAL TUBE W FL,SURG,2408,2/13/2023,1204,722.4,1105.272,2261.112,1170.288,1105.272,1688.008,1622.992,1362.928,1606.136,1731.352,1798.776,2261.112
1414758,MESH IMPLANTABLE 9,C1781,22034,2/13/2023,11017,6610.2,10113.606,20689.926,10708.524,10113.606,15445.834,14850.916,12471.244,14696.678,15842.446,16459.398,20689.926
1815067,NEG PR WN LT50CM PTA,97605,955,2/13/2023,477.5,286.5,438.345,896.745,464.13,438.345,669.455,643.67,540.53,636.985,686.645,713.385,896.745
1913246,BLOOD TRANSFUSION,36430,4041,2/13/2023,2020.5,1212.3,1854.819,3794.499,1963.926,1854.819,2832.741,2723.634,2287.206,2695.347,2905.479,3018.627,3794.499
1218607,CALC CARB 1250MG CHW,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1630007,CT-ABD PELVIS WO,74176,3371,2/13/2023,1685.5,1011.3,1547.289,3165.369,1638.306,1547.289,2363.071,2272.054,1907.986,2248.457,2423.749,2518.137,3165.369
7212121,ESTROGEN CNJ 25MGINJ,J1410,1122,2/13/2023,561,336.6,514.998,1053.558,545.292,514.998,786.522,756.228,635.052,748.374,806.718,838.134,1053.558
1210209,CEFOTAXIME NA 1GM,J0698,25,2/13/2023,12.5,7.5,11.475,23.475,12.15,11.475,17.525,16.85,14.15,16.675,17.975,18.675,23.475
1213038,APIXABAN 2.5MG TAB,,39,2/13/2023,19.5,11.7,17.901,36.621,18.954,17.901,27.339,26.286,22.074,26.013,28.041,29.133,36.621
7210435,VITAMIN E 200 IU PO,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1314494,TRANSFERASE AST,84450,76,2/13/2023,38,22.8,34.884,71.364,36.936,34.884,53.276,51.224,43.016,50.692,54.644,56.772,71.364
1459211,LEVEL 1 EP,G0463,457,2/13/2023,228.5,137.1,209.763,429.123,222.102,209.763,320.357,308.018,258.662,304.819,328.583,341.379,429.123
1610071,UE-HAND 2V DR,73120,761,2/13/2023,380.5,228.3,349.299,714.579,369.846,349.299,533.461,512.914,430.726,507.587,547.159,568.467,714.579
1219212,CHOLESTYR LT POW 4GM,,21,2/13/2023,10.5,6.3,9.639,19.719,10.206,9.639,14.721,14.154,11.886,14.007,15.099,15.687,19.719
2891784,MASS SPECTRO QUANT,83789,141,2/13/2023,70.5,42.3,64.719,132.399,68.526,64.719,98.841,95.034,79.806,94.047,101.379,105.327,132.399
1854902,OT EVAL- HGH CMP OT,97167,996,2/13/2023,498,298.8,457.164,935.244,484.056,457.164,698.196,671.304,563.736,664.332,716.124,744.012,935.244
1221139,AA 5%/D20W 2000ML,,278,2/13/2023,139,83.4,127.602,261.042,135.108,127.602,194.878,187.372,157.348,185.426,199.882,207.666,261.042
1314584,PROT E-PHOR-URIN-CSF,84166,236,2/13/2023,118,70.8,108.324,221.604,114.696,108.324,165.436,159.064,133.576,157.412,169.684,176.292,221.604
1212928,AL200-MG200/5 30ML,,15,2/13/2023,7.5,4.5,6.885,14.085,7.29,6.885,10.515,10.11,8.49,10.005,10.785,11.205,14.085
1693773,S-C1 C2 TX DI INJ,SURG,2130,2/13/2023,1065,639,977.67,2000.07,1035.18,977.67,1493.13,1435.62,1205.58,1420.71,1531.47,1591.11,2000.07
1217537,LIDOCAI 1.5%/EPI 10M,,47,2/13/2023,23.5,14.1,21.573,44.133,22.842,21.573,32.947,31.678,26.602,31.349,33.793,35.109,44.133
